smiles,mol_weight,NumAr,reagent-info
NCC1CCOc2ccccc21,163.099714036,1,CHEMBL4572341
O=C(COc1ccccc1)NC1=NCCS1,236.061948624,1,CHEMBL1460373
NCCCc1cn[nH]c1,125.09529735199999,1,CHEMBL4514251
NCCCc1cn[nH]c1,125.09529735199999,1,6091384
COc1ccccc1[C@H]1C[C@@H]1CN.Cl,213.092041812,1,CHEMBL451368
CC(NC1=NCCC1)c1ccccc1.Cl,224.10802622399999,1,CHEMBL1420608
CC(C)Oc1ccc2occc2c1[C@H]1C[C@@H]1CN,245.141578848,2,CHEMBL4803103
Clc1ccc(C2=NCCN2)cc1,180.045425968,1,CHEMBL448710
Clc1ccc(C2=NCCN2)cc1,180.045425968,1,608390
NC(=O)c1nnsc1NC(=O)C(F)F,222.002302808,1,CHEMBL4947499
NC(=O)c1nnsc1NC(=O)C(F)F,222.002302808,1,1417063
COc1ccc([C@H]2OCC[C@@H]2N)cn1,194.105527688,1,CHEMBL4575139
c1ccc2c(CCNC3=NCCC3)c[nH]c2c1,227.14224754399999,2,CHEMBL1442372
c1ccc2c(CCNC3=NCCC3)c[nH]c2c1,227.14224754399999,2,4211278
COc1cccc2c1OCC(C)(C)C2N,207.125928784,1,CHEMBL5187617
Cc1cccc(C)c1NC(=O)[C@H](C)N.Cl,228.102940844,1,CHEMBL3249953
N[C@@H]1C[C@@H]1c1ccc(Br)cc1F,228.990239608,1,CHEMBL5175250
Cc1ccc(C(N)=O)c(O)c1,151.063328528,1,CHEMBL4520494
Cc1ccc(C(N)=O)c(O)c1,151.063328528,1,2583736
N[C@@H]1C[C@@H]1c1ccc(Br)c(O)c1,226.99457604,1,CHEMBL5196391
NCc1cccc(OCC(F)F)c1,187.080870412,1,CHEMBL4518558
NCc1cccc(OCC(F)F)c1,187.080870412,1,37755382
CS(=O)(=O)c1ccc(NC(=O)CN)cc1,228.056863244,1,CHEMBL4566400
CS(=O)(=O)c1ccc(NC(=O)CN)cc1,228.056863244,1,42228352
CC(C)[C@H](N)C(=O)Nc1ccccc1,192.126263132,1,CHEMBL5073343
CC(C)[C@H](N)C(=O)Nc1ccccc1,192.126263132,1,11958536
CC(C)[C@H](N)C(=O)Nc1ccc(F)cc1,210.11684132,1,CHEMBL5076786
CC(C)[C@H](N)C(=O)Nc1ccc(F)cc1,210.11684132,1,11958623
C#Cc1ccc(NC(=O)[C@@H](N)C(C)CC)cc1,230.141913196,1,CHEMBL5084748
N[C@@H](Cc1cccnn1)C(=O)O,167.069476528,1,CHEMBL1742052
N[C@@H](Cc1cccnn1)C(=O)O,167.069476528,1,3954179
Cl.N[C@@H](Cc1ccc(F)cc1)C(=O)O,219.046234492,1,CHEMBL1885615
NCCNS(=O)(=O)c1ccccc1,200.061948624,1,CHEMBL2448846
NCCNS(=O)(=O)c1ccccc1,200.061948624,1,2574208
C[C@@H]1Cc2ccccc2N[C@@H]1C1=NCCN1,215.14224754399999,1,CHEMBL41305
NC(=O)c1ccc(OCC2CCCCC2)cc1,233.141578848,1,CHEMBL5178227
NC(=O)c1ccc(OCC2CCCCC2)cc1,233.141578848,1,7509984
N#Cc1ccc(N[C@@H](CN)C2CCCCC2)cc1,243.17354767199998,1,CHEMBL4897211
NCC1(c2cccc(C(F)(F)F)c2)CCC1,229.107834108,1,CHEMBL3458837
NCC1(c2cccc(C(F)(F)F)c2)CCC1,229.107834108,1,20429519
C/N=C(/Cc1ccc2cc(OC)ccc2c1)NC,242.141913196,2,CHEMBL1191703
N[C@H]1C[C@@H]1c1ccc(Br)c(F)c1,228.990239608,1,CHEMBL5204816
Cc1cc(C(=O)O)ccc1[C@H](N)C(=O)O,209.068807832,1,CHEMBL94631
Cc1cc(C(=O)O)ccc1[C@H](N)C(=O)O,209.068807832,1,6978
C=CCCOc1ccccc1C(N)=O,191.094628656,1,CHEMBL1387659
Cc1ccc2nc3cccc(C(N)=O)c3nc2c1,237.090211972,3,CHEMBL169805
CNc1nc2ccc(C(N)=O)cc2[nH]1,190.08546094,2,CHEMBL4639735
CC(N)Cc1ccccc1.Cl,171.081477128,1,CHEMBL554211
N[C@H](Cc1c[nH]cn1)C(=O)Nc1ccccc1,230.116761068,2,CHEMBL5179858
CC(=O)c1ccc(NC2=NCC(C)S2)cc1,234.082684068,1,CHEMBL5204230
NCc1cnc(-c2ccccc2)nc1,185.095297352,2,CHEMBL4586850
