smiles,mol_weight,NumAr,reagent-info
CC(C)n1cc(Br)cc1C(=O)O,230.98949066,1,CHEMBL4939784
CC(C)n1cc(Br)cc1C(=O)O,230.98949066,1,68583435
Clc1ccc2cn[nH]c2c1,152.01412584,2,CHEMBL392184
Clc1ccc2cn[nH]c2c1,152.01412584,2,4878475
CC(C)CNC(=O)c1ccc(Cl)c(N)c1,226.08729078,1,CHEMBL1584124
CC(C)CNC(=O)c1ccc(Cl)c(N)c1,226.08729078,1,365589
CCSCCC(=O)c1ccc(Cl)cc1,228.037563716,1,CHEMBL389369
Nc1ccc(N2CCCCC2)c(Cl)c1,210.09237616,1,CHEMBL1533345
Nc1ccc(N2CCCCC2)c(Cl)c1,210.09237616,1,157383
COc1nc(=O)[nH]c2cc(Cl)ccc12,210.019605144,2,CHEMBL5089094
Clc1ccc(C2=NCCN2)cc1,180.045425968,1,CHEMBL448710
Clc1ccc(C2=NCCN2)cc1,180.045425968,1,608390
CC(Oc1ccc(Cl)cc1)C(=O)N(C)C,227.071306368,1,CHEMBL4573565
Cc1cc2c(cc1Cl)[C@H]1CNC[C@H]1[C@H]2C,221.097127192,1,CHEMBL379180
O=C1CC(c2ccc(Cl)cc2)CN1,195.04509162,1,CHEMBL26683
O=C(O)COc1ccc(Cl)cc1,186.00837176399997,1,CHEMBL178018
O=C(O)COc1ccc(Cl)cc1,186.00837176399997,1,8403210
CC(=O)NCCc1c[nH]c2ccc(Cl)cc12,236.071640716,2,CHEMBL288562
CC(=O)NCCc1c[nH]c2ccc(Cl)cc12,236.071640716,2,488387
Nc1ccc(N)c(Cl)c1,142.029775904,1,CHEMBL1619318
Nc1ccc(N)c(Cl)c1,142.029775904,1,388453
O=C(O)C1CCc2c([nH]c3ccc(Cl)cc23)C1,249.055656304,2,CHEMBL3277053
N[C@@H]1C[C@@H]1c1ccc(Br)cc1F,228.990239608,1,CHEMBL5175250
CC(C)(C)NC(=O)c1cc(F)c(F)cc1Cl,247.057548124,1,CHEMBL1385364
CC(C)(C)NC(=O)c1cc(F)c(F)cc1Cl,247.057548124,1,2650086
O=C(Nc1cccc(Cl)c1)C1CCCCC1,237.092041812,1,CHEMBL2144187
O[C@H]1CC[C@H](Oc2cccc(Cl)c2)CC1,226.0760574,1,CHEMBL5174524
N[C@@H]1C[C@@H]1c1ccc(Br)c(O)c1,226.99457604,1,CHEMBL5196391
O=C(O)c1ccccc1Nc1ccc(Cl)cc1,247.04000624,2,CHEMBL2043303
COc1cc(C(=O)O)ccc1Cl.N,203.03492086,1,CHEMBL1498177
Cc1cc(Cc2ccccc2Cl)n(O)c(=O)c1,249.055656304,2,CHEMBL5186417
Brc1cncnc1NC1CC1,212.990159356,1,CHEMBL4958069
Brc1cncnc1NC1CC1,212.990159356,1,85465098
O=c1[nH]cnc2ccc(Cl)cc12,180.00904046,2,CHEMBL1949844
O=c1[nH]cnc2ccc(Cl)cc12,180.00904046,2,14982402
N[C@H]1C[C@@H]1c1ccc(Br)c(F)c1,228.990239608,1,CHEMBL5204816
Clc1cccc2c1CNCC2,167.050177,1,CHEMBL146188
Clc1cccc2c1CNCC2,167.050177,1,27556078
CN(C)c1nc(=O)n(C)c2cc(Cl)ccc12,237.066889684,2,CHEMBL5089146
Clc1ccccc1CN1CCCC1,195.081477128,1,CHEMBL3113394
Clc1ccccc1CN1CCCC1,195.081477128,1,1577501
Clc1ccc(-c2[nH]nc3c2CCCC3)cc1,232.076726096,2,CHEMBL1571228
Cc1cc(C)n2nc(O)c(Br)c2n1,240.985073976,2,CHEMBL3246730
C[C@@H]1Nc2ccc(Cl)cc2S(=O)(=O)N1,232.007326208,1,CHEMBL1434824
C[C@@H]1Nc2ccc(Cl)cc2S(=O)(=O)N1,232.007326208,1,5921
Fc1ccccc1CNc1ccc(Cl)cc1,235.056405252,2,CHEMBL1455017
N#C/C=C/S(=O)(=O)c1ccc(Cl)cc1,226.980777112,1,CHEMBL5170900
Clc1cc2c3c(c1)CNCCN3CC2,208.076726096,1,CHEMBL4646612
Cc1nc2ccc(Cl)cc2c2c1CCS2,235.022248,2,CHEMBL1981082
NCc1ccc(F)cc1Br,202.974589544,1,CHEMBL4954345
NCc1ccc(F)cc1Br,202.974589544,1,2567807
N[C@H]1C[C@@H]1c1cc(F)c(Br)c(F)c1,246.980817796,1,CHEMBL5196815
N=c1[cH-][n+](-c2ccc(Cl)cc2)no1,195.019939492,2,CHEMBL1622173
O=c1cc(O)c2ccc(Cl)cc2[nH]c1=O,223.003620732,2,CHEMBL93798
CC(CNc1ccccc1Cl)C(=O)O,213.055656304,1,CHEMBL1992481
Cc1cc(S(N)(=O)=O)ccc1Cl,204.996427176,1,CHEMBL4985641
Cc1cc(S(N)(=O)=O)ccc1Cl,204.996427176,1,1748016
Nc1n[nH]c2ccc(Br)cc12,210.974509292,2,CHEMBL465091
Nc1n[nH]c2ccc(Br)cc12,210.974509292,2,332240
Cl.Clc1cccc2c3c([nH]c12)CCNC3,242.03775374399999,2,CHEMBL1435619
O[C@H](CCl)CNc1cccc(Cl)c1,219.021769332,1,CHEMBL1765137
Nc1nnc(-c2ccc(Cl)cc2)[nH]1,194.035923904,2,CHEMBL1438508
CCCCNc1cc(C)nc2c(Cl)cccc12,248.10802622399999,2,CHEMBL4863863
N#Cc1cc(Br)ccc1O,196.947625848,1,CHEMBL2323844
N#Cc1cc(Br)ccc1O,196.947625848,1,2516785
COc1cc(Cl)cc(O)c(=O)c1OC,216.018936448,1,CHEMBL1976491
CN(C)CCCNc1cccc(Cl)c1C#N,237.10327519199998,1,CHEMBL1935091
Nc1cc(O)ccc1Cl,143.013791492,1,CHEMBL2333959
Nc1cc(O)ccc1Cl,143.013791492,1,404165
Clc1ccc(C23CNCC2C3)cc1,193.065827064,1,CHEMBL1189600
COc1ccc(CNC(C)(C)C)cc1Cl,227.107691876,1,CHEMBL1616742
COc1ccc(CNC(C)(C)C)cc1Cl,227.107691876,1,2885301
OC(CCl)CNc1ccccc1Cl,219.021769332,1,CHEMBL255355
Cc1cccc(NC(=O)c2cc(Cl)ccn2)n1,247.05123962,2,CHEMBL248127
Cc1cccc(NC(=O)c2cc(Cl)ccn2)n1,247.05123962,2,12540743
COC(=S)NC(=O)c1ccc(Cl)cc1,228.996427176,1,CHEMBL4933620
COC(=S)NC(=O)c1ccc(Cl)cc1,228.996427176,1,345297
Nc1nc(-c2ccccc2Cl)n[nH]1,194.035923904,2,CHEMBL496857
Nc1nc(-c2ccccc2Cl)n[nH]1,194.035923904,2,4927468
O=C(Nc1ccc(F)c(Cl)c1)N1CCCC1,242.062218904,1,CHEMBL1377416
O=C(Nc1ccc(F)c(Cl)c1)N1CCCC1,242.062218904,1,6725496
Cc1ccc(B(O)O)cc1Cl,170.03058757600002,1,CHEMBL4540708
O=C(Nc1cc(Cl)ccc1O)c1cccnc1,248.035255208,2,CHEMBL480413
O=C(Nc1cc(Cl)ccc1O)c1cccnc1,248.035255208,2,19881437
C[C@@H]1C[C@H](O)c2cc(Cl)ccc2N1,197.060741684,1,CHEMBL1459369
C[C@@H]1C[C@H](O)c2cc(Cl)ccc2N1,197.060741684,1,4337037
Clc1ccc2c(N3CCNCC3)ccnc2c1,247.08762512799998,2,CHEMBL236696
Clc1ccc2c(N3CCNCC3)ccnc2c1,247.08762512799998,2,171526
O=c1[nH]cc(Cc2ccc(Cl)cc2)[nH]c1=O,236.035255208,2,CHEMBL5191030
Nc1nc(-c2ccc(Cl)cc2)cs1,210.001846904,2,CHEMBL1650273
Nc1nc(-c2ccc(Cl)cc2)cs1,210.001846904,2,8655326
O[C@H]1CC[C@@H](Oc2cccc(Cl)c2)CC1,226.0760574,1,CHEMBL5172517
Oc1ccnc2ccc(Cl)cc12,179.013791492,2,CHEMBL1491011
Clc1ccc(C2CCNC2)cc1,181.065827064,1,CHEMBL27453
O=C(Nc1cccc(Cl)c1)Nn1cnnc1,237.041737556,2,CHEMBL1358810
O=C(Nc1cccc(Cl)c1)Nn1cnnc1,237.041737556,2,329885
CCCn1c(N)c(Br)c(=O)[nH]c1=O,246.99563866,1,CHEMBL1341118
CCCn1c(N)c(Br)c(=O)[nH]c1=O,246.99563866,1,3268078
Brc1ccc(CNC2CC2)cc1,225.015311484,1,CHEMBL3229272
Brc1ccc(CNC2CC2)cc1,225.015311484,1,13942722
Cc1cc2oc(=O)[nH]c2cc1Cl,183.008706112,2,CHEMBL4116920
Cc1cc2oc(=O)[nH]c2cc1Cl,183.008706112,2,44672248
O[C@H]1CC[C@H](Oc2ccc(Cl)cc2)CC1,226.0760574,1,CHEMBL5182574
OCCOc1ccc(Cl)cc1,172.029107208,1,CHEMBL3707367
OCCOc1ccc(Cl)cc1,172.029107208,1,1586425
Clc1ccccc1C1NCCc2sccc21,249.037898064,2,CHEMBL5185102
Cn1cncc1-c1c[nH]c2ccc(Cl)c(F)c12,249.046903188,3,CHEMBL4438349
O=C(O)c1cccc(Cl)c1,155.99780708,1,CHEMBL20563
O=C(O)c1cccc(Cl)c1,155.99780708,1,156863
O=C(O)Cn1ccc2c(Cl)cccc21,209.024356176,2,CHEMBL3445307
O=C(O)Cn1ccc2c(Cl)cccc21,209.024356176,2,26511210
Cc1cc(Cl)ccc1CN(C)CCO,213.092041812,1,CHEMBL5025571
Cc1cc(Cl)ccc1CN(C)CCO,213.092041812,1,136137047
Nc1ccc(N2CCOCC2)c(Cl)c1,212.071640716,1,CHEMBL1528841
Nc1ccc(N2CCOCC2)c(Cl)c1,212.071640716,1,122384
Clc1ccc(-c2cn3ncsc3n2)cc1,234.997095872,3,CHEMBL1568958
Clc1ccc(-c2cn3ncsc3n2)cc1,234.997095872,3,6748217
O=C(c1ccc(Cl)cc1)C1CC1,180.034192588,1,CHEMBL2251575
O=C(c1ccc(Cl)cc1)C1CC1,180.034192588,1,404331
CNCc1ccc(Cl)cc1.Cl,191.026854712,1,CHEMBL13936
O=C(Nc1ccc(Cl)cn1)c1ccncc1,233.035589556,2,CHEMBL4558622
