smiles,mol_weight,NumAr,reagent-info
COc1ccc(B(O)O)cn1,153.059723516,1,CHEMBL3236876
Cc1ccc(B(O)O)cc1Cl,170.03058757600002,1,CHEMBL4540708
OB(O)c1cccc(-n2cc(C3CC3)nn2)c1,229.10225702399998,2,CHEMBL5193460
O=C(O)c1cccc2cc(B(O)O)sc12,222.015810104,2,CHEMBL4568968
OB(O)c1ccc2[nH]ncc2c1,162.060057864,2,CHEMBL3236907
OB1OCc2ccccc21,134.053909864,1,CHEMBL378506
OB(O)c1cc2ccccc2s1,178.025980864,2,CHEMBL34964
OB(O)c1ccnc(Cl)c1,157.01018648,1,CHEMBL3236585
OB(O)c1ccc(C(F)(F)F)cc1,190.041294492,1,CHEMBL143654
Cc1cc(B(O)O)cnc1Cl,171.025836544,1,CHEMBL3236631
OB(O)c1ccnc(F)c1Cl,175.000764668,1,CHEMBL3236589
CC(=O)C(C)(C)Oc1ccc2c(c1)B(O)OC2,234.10633936,1,CHEMBL1688757
COc1cccc(B(O)O)c1,152.064474548,1,CHEMBL485741
O=C(O)COc1ccc2c(c1)B(O)OC2,208.05430378799997,1,CHEMBL1688733
OB1OCc2ccc(OCc3ccccn3)cc21,241.091023644,2,CHEMBL1688730
CC(=O)C(Oc1ccc2c(c1)B(O)OC2)C(C)C,248.121989424,1,CHEMBL1688760
OB(O)c1ccccc1O,138.048824484,1,CHEMBL4093004
COc1nccc(B(O)O)c1Cl,187.020751164,1,CHEMBL3236591
NC[C@H]1OB(O)c2c(OCCCO)cccc21,237.11723839200002,1,CHEMBL3549142
NC[C@H]1OB(O)c2c(OCCCO)cccc21,237.11723839200002,1,198027014
OB(O)c1cc2cc(O)ccc2s1,194.020895484,2,CHEMBL395398
OB(O)c1ccccc1C(F)(F)F,190.041294492,1,CHEMBL349181
OB(O)c1ccc(OCc2ccccc2)nc1,229.091023644,2,CHEMBL3236874
Cn1ccc(B2OC(C)(C)C(C)(C)O2)n1,208.138308184,1,CHEMBL5019472
Cn1ccc(B2OC(C)(C)C(C)(C)O2)n1,208.138308184,1,169747412
OB(O)c1cc[nH]n1,112.04440779999999,1,CHEMBL2071020
CC[N+]1(CC)Cc2ccccc2[B-]1(O)O,207.14305921599998,1,CHEMBL91103
CC(=O)c1ccc(B(O)O)cc1,164.064474548,1,CHEMBL1209760
OB(O)c1cnc2ccccc2c1,173.064808896,2,CHEMBL3236629
CSc1ccc(B(O)O)cn1,169.036879896,1,CHEMBL3236875
OB1OCc2ccc(O)cc21,150.048824484,1,CHEMBL1688726
OB(O)c1ccc(OCCc2ccccc2)nc1,243.106673708,2,CHEMBL3417345
NCC1OB(O)c2c3c(cc(Cl)c21)OCO3,241.031315848,1,CHEMBL4116546
Cc1cc2cn[nH]c2cc1B(O)O,176.07570792799999,2,CHEMBL5081717
COCCOc1ccc2c(c1)B(O)OC2,208.090689296,1,CHEMBL1688740
COc1ccc(B(O)O)c(-n2cccn2)c1,218.086272612,2,CHEMBL5178577
O=C(O)c1ccc(B(O)O)cc1,166.043739104,1,CHEMBL82324
OB1OCc2cc(Oc3ccc(F)cc3)ccc21,244.0707028,2,CHEMBL484171
O=C(O)c1cccn1-c1ccc2c(c1)B(O)OC2,243.0702882,2,CHEMBL3263142
O=C(c1ccccc1)c1ccc2c(c1)B(O)OC2,238.080124612,2,CHEMBL1761094
OB(O)c1ccc2nonc2c1,164.03932242,2,CHEMBL4082284
Nc1ccc(Oc2ccc3c(c2)B(O)OC3)cc1,241.091023644,2,CHEMBL1761270
Cc1cc(B(O)O)ccc1Cl,170.03058757600002,1,CHEMBL3236890
N[C@@H](Cc1ccc(B(O)O)cc1)C(=O)O,209.085938264,1,CHEMBL125582
OB1OCc2cc(Cl)ccc21,168.014937512,1,CHEMBL211538
OB1OCc2cc(Cl)ccc21,168.014937512,1,169981748
OB1OCc2ccc(Oc3cccc(O)c3)cc21,242.075039232,2,CHEMBL1761262
OB1OCc2ccc(Nc3ccccc3)cc21,225.096109024,2,CHEMBL1761260
CCC(Oc1ccc2c(c1)B(O)OC2)C(C)=O,234.10633936,1,CHEMBL1688758
OB(O)c1cccc(/N=N/c2ccccc2O)c1,242.086272612,2,CHEMBL181804
OB(O)c1cccs1,128.0103308,1,CHEMBL141272
OB1OCCc2cc(F)ccc21,166.060138116,1,CHEMBL214011
CC1(C)OB(c2cnsc2)OC1(C)C,211.08383008799998,1,CHEMBL4910008
CC1(C)OB(c2cnsc2)OC1(C)C,211.08383008799998,1,198055046
OB1OCc2ccc(-n3ccc4ccccc43)cc21,249.096109024,3,CHEMBL3263126
OB(O)c1ccc(F)cc1,140.044488052,1,CHEMBL344890
OB(O)c1ccc(O)cc1,138.048824484,1,CHEMBL3218996
N#Cc1ccc2c(c1)COB2O,159.049158832,1,CHEMBL378529
N#Cc1ccc2c(c1)COB2O,159.049158832,1,195151041
COc1ccc(B(O)O)cc1,152.064474548,1,CHEMBL21427
Nc1cc(F)c(F)c(B(O)O)c1,173.045965272,1,CHEMBL5193796
NCc1ccc(F)c(B(O)O)c1,169.071037148,1,CHEMBL5182246
Cc1ccc(F)c(B(O)O)c1,154.060138116,1,CHEMBL5174157
CCC(=O)Nc1cccc(B(O)O)c1,193.091023644,1,CHEMBL5202741
OB1OCc2cc(F)c(F)cc21,170.03506624,1,CHEMBL212619
Nc1ccc2sc(B(O)O)cc2c1,193.036879896,2,CHEMBL396390
OB(O)c1ccc(Oc2cccnc2)nc1,216.070622548,2,CHEMBL3236872
O=C(O)c1cccc(B(O)O)c1,166.043739104,1,CHEMBL421765
OB(O)c1cc(Br)cnc1Cl,234.920698548,1,CHEMBL3236926
Cn1c(B2OC(C)(C)C(C)(C)O2)cnc1Cl,242.099335832,1,CHEMBL3236901
Cn1c(B2OC(C)(C)C(C)(C)O2)cnc1Cl,242.099335832,1,169810458
OB1OC(c2c[nH]c3ccccc23)c2ccccc21,249.096109024,3,CHEMBL4875860
COc1ncccc1B(O)O,153.059723516,1,CHEMBL3236609
O=C(O)c1cn(-c2cccc(B(O)O)c2)nn1,233.060786136,2,CHEMBL5189022
OB(O)c1cccc(C(F)(F)F)c1,190.041294492,1,CHEMBL336239
OB(O)c1ccc(OCc2ccccc2)cc1,228.095774676,2,CHEMBL1824170
OB(O)c1cc(Cl)ncc1Cl,190.97121412799999,1,CHEMBL3236592
CCOc1cc(Cl)c2c(c1)B(O)OC2CN,241.067701356,1,CHEMBL4117854
OB(O)c1ccc(F)nc1,141.03973702,1,CHEMBL487369
OB1OCc2ccc3ccccc3c21,184.069559928,2,CHEMBL212618
CCOc1cccc2c1B(O)O[C@@H]2CN,207.106673708,1,CHEMBL4081755
OB1OCc2cc(F)ccc21,152.044488052,1,CHEMBL443052
CSc1ncccc1B(O)O,169.036879896,1,CHEMBL3236612
Cl.NC[C@H]1OB(O)c2c1ccc1c2OCO1,243.046965912,1,CHEMBL5187613
CCC1CC(=O)CCN1c1ccccc1B(O)O,247.137973836,1,CHEMBL5201993
CNC(=O)CNC(=O)c1ccc2c(c1)B(O)OC2,248.096837296,1,CHEMBL5078936
N#CCc1cccc(B(O)O)c1,161.064808896,1,CHEMBL4087433
CCCc1ccc(B(O)O)cc1,164.10086005600002,1,CHEMBL1952295
OB(O)c1cncc(OCc2ccccc2)c1,229.091023644,2,CHEMBL3417360
OB(O)c1ccc(F)c(Cl)c1,174.0055157,1,CHEMBL279024
COc1ccc(Cl)c2c1B(O)O[C@@H]2CN,227.052051292,1,CHEMBL4115953
OB(O)c1cccc(-c2nnn[nH]2)c1,190.06620586399998,2,CHEMBL5083690
CC(C)Oc1ccc2c(c1)B(O)OC2,192.095774676,1,CHEMBL1688738
CCNC(=O)COc1ccc2c(c1)B(O)OC2,235.101588328,1,CHEMBL1688750
Cc1ccc(Oc2ccc3c(c2)COB3O)cc1,240.095774676,2,CHEMBL509857
CC1(C)OB(c2ccc(O)nc2)OC1(C)C,221.12232377200002,1,CHEMBL4972157
CC1(C)OB(c2ccc(O)nc2)OC1(C)C,221.12232377200002,1,169743755
OB(O)c1cccc(Cn2cc(C3CC3)nn2)c1,243.11790708799998,2,CHEMBL5199663
Cc1ccc(B(O)O)cc1,136.06955992800002,1,CHEMBL140780
N#Cc1ccccc1-c1cccc2c1B(O)OC2,235.08045896,2,CHEMBL5170878
NCc1ccc(B(O)O)cc1,151.08045896,1,CHEMBL3545881
OB(O)c1ccccc1-c1ccccc1,198.085209992,2,CHEMBL467355
CC1(C)OB(O)c2ccccc21,162.08520999200002,1,CHEMBL2036004
OB(O)c1ccc2ccccc2c1,172.069559928,2,CHEMBL141079
OB(O)c1cccc(Br)c1,199.964421932,1,CHEMBL278140
CC(C)Nc1ccc(B(O)O)cc1,179.11175908799999,1,CHEMBL3236887
COc1ccc(B2OC(C)(C)C(C)(C)O2)cc1,234.14272486800002,1,CHEMBL5193023
COc1ccc(B2OC(C)(C)C(C)(C)O2)cc1,234.14272486800002,1,169747116
OB(O)c1cccc2c1sc1ccccc12,228.041630928,3,CHEMBL5202079
OB(O)c1cccnc1Cl,157.01018648,1,CHEMBL3236607
NC(Cc1ccc(B(O)O)cc1)C(=O)O,209.085938264,1,CHEMBL298071
OB(O)c1ccccc1OCc1ccccc1,228.095774676,2,CHEMBL3814113
CCCCc1ccc(B(O)O)cc1,178.11651012,1,CHEMBL555064
COc1ccccc1B(O)O,152.064474548,1,CHEMBL348732
CCc1ccc(B(O)O)cc1,150.08520999200002,1,CHEMBL1952294
OB1OCc2cc(Oc3ccccc3)ccc21,226.080124612,2,CHEMBL485360
NCCCc1cccc2c1B(O)OC2,191.11175908799999,1,CHEMBL3546131
OB1OC(c2cccs2)c2ccccc21,216.041630928,2,CHEMBL4878895
CCOc1ccc(Cl)c2c1B(O)O[C@@H]2CN,241.067701356,1,CHEMBL4117258
OB1OCc2ccc(Oc3cnccn3)cc21,228.070622548,2,CHEMBL3581480
Nc1cccc(Oc2ccc3c(c2)B(O)OC3)c1,241.091023644,2,CHEMBL1761263
O=C(O)CCCc1cccc2c1B(O)OC2,220.090689296,1,CHEMBL1643741
O=C(O)COc1cccc2c1B(O)OC2,208.05430378799997,1,CHEMBL1643743
OB(O)c1cccnc1Br,200.9596709,1,CHEMBL3236606
NC(=O)CCc1cccc2c1B(O)OC2,205.091023644,1,CHEMBL1643748
O=C(O)c1ccc2c(c1)B(O)OC2,178.043739104,1,CHEMBL4539935
O=C(O)c1ccc2c(c1)B(O)OC2,178.043739104,1,169807767
Cc1cc(F)ccc1B(O)O,154.060138116,1,CHEMBL225804
OB(O)c1ccc(-c2ccccc2)cc1,198.085209992,2,CHEMBL485742
NC[C@H]1OB(O)c2c1ccc1c2OCO1,207.0702882,1,CHEMBL5222000
Cl.NCCCc1cccc2c1B(O)OC2,227.08843679999998,1,CHEMBL1643752
CNc1ccc(C2OB(O)c3ccccc32)cc1,239.11175908799999,2,CHEMBL4875825
COCc1cc(F)ccc1B(O)O,184.0707028,1,CHEMBL388368
CN(C)C(=O)CCc1cccc2c1B(O)OC2,233.122323772,1,CHEMBL1643749
OB1OCc2cccc(F)c21,152.044488052,1,CHEMBL212684
COc1ccc2c(c1)COB2O,164.064474548,1,CHEMBL211300
Cc1ccc2c(c1)COB2O,148.069559928,1,CHEMBL213941
OB1OCc2ccc(F)cc21,152.044488052,1,CHEMBL380224
OCCCc1cccc2c1B(O)OC2,192.095774676,1,CHEMBL1688720
OB1OCc2ccc(Cc3ccccc3)cc21,224.100860056,2,CHEMBL1761093
NC[C@@H]1OB(O)c2c(OCCCO)cccc21,237.11723839200002,1,CHEMBL4739890
NC[C@@H]1OB(O)c2c(OCCCO)cccc21,237.11723839200002,1,199853522
O=C(O)CCc1cccc2c1COB2O,206.075039232,1,CHEMBL1643756
O=C(O)CCc1ccc2c(c1)COB2O,206.075039232,1,CHEMBL1643755
OB(O)c1cccnc1OCc1ccccc1,229.091023644,2,CHEMBL3236611
Nc1ccc2c(c1)B(O)OC2,149.064808896,1,CHEMBL4167266
Nc1ccc2c(c1)B(O)OC2,149.064808896,1,169746095
O=C(O)C(F)Cc1cccc2c1B(O)OC2,224.06561742,1,CHEMBL1944664
OB(O)c1ccc(Cl)nc1,157.01018648,1,CHEMBL3236617
OB(O)c1cccc(Cl)c1,156.014937512,1,CHEMBL164616
OB(O)c1cc(Cl)cnc1Cl,190.97121412799999,1,CHEMBL3236925
N#Cc1cccc(B(O)O)c1,147.049158832,1,CHEMBL485740
OB(O)c1ccsc1,128.0103308,1,CHEMBL341722
CCC(=O)C(C)Oc1ccc2c(c1)B(O)OC2,234.10633936,1,CHEMBL1688754
OB1OCc2ccc(OCc3ccccc3)cc21,240.095774676,2,CHEMBL1688727
O=C(O)CCc1cc(F)cc2c1B(O)OC2,224.06561742,1,CHEMBL1947218
O=C(O)CCc1ccc(F)c2c1B(O)OC2,224.06561742,1,CHEMBL1945109
Nc1cc2c(cc1Br)COB2O,226.975320964,1,CHEMBL5174571
OB1OC(c2ccccc2)c2ccccc21,210.085209992,2,CHEMBL4864824
OB(O)c1ccc(Oc2ccccc2)cc1,214.080124612,2,CHEMBL459151
OB(O)c1ccnc(F)c1,141.03973702,1,CHEMBL3236586
