smiles,mol_weight,NumAr,reagent-info
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,215.094628656,2,CHEMBL213432
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,215.094628656,2,29114
CC(C)n1cc(Br)cc1C(=O)O,230.98949066,1,CHEMBL4939784
CC(C)n1cc(Br)cc1C(=O)O,230.98949066,1,68583435
O=C(O)c1nccnc1N1CCC2(CC1)CC2,233.11642672,1,CHEMBL5222146
O=C(O)c1nccnc1NC1CCCC1,207.100776656,1,CHEMBL5222193
CC(C)(C)Cc1ccc(C(=O)[O-])c(O)n1.[Na+],231.087137588,1,CHEMBL51026
C#CCNCCc1cccc(OC(=O)N(C)C)c1,246.136827816,1,CHEMBL347503
CCCCNc1cnc(C(=O)O)c(N)n1,210.111675688,1,CHEMBL5222690
O=C(O)Cc1c[nH]c2cc(F)ccc12,193.053906716,2,CHEMBL82397
O=C(O)Cc1c[nH]c2cc(F)ccc12,193.053906716,2,2572396
O=C(O)c1ccc(Cl)nc1,156.993056048,1,CHEMBL1723657
O=C(O)c1ccc(Cl)nc1,156.993056048,1,164579
O=C(Oc1cccc(O)c1)c1ccccc1,214.06299418,2,CHEMBL2260450
O=C(Oc1cccc(O)c1)c1ccccc1,214.06299418,2,396112
Cc1cc(O)n2nc(C(=O)O)nc2n1,194.043990052,2,CHEMBL1507346
Cc1cc(O)n2nc(C(=O)O)nc2n1,194.043990052,2,19015006
CCNc1cncc(C(=O)[O-])n1.[Na+],189.051420776,1,CHEMBL5201024
O=C(O)Cn1cnc2ccccc2c1=O,204.053492116,2,CHEMBL1471153
O=C(O)Cn1cnc2ccccc2c1=O,204.053492116,2,141049
O=C(O)COc1ccc(Cl)cc1,186.00837176399997,1,CHEMBL178018
O=C(O)COc1ccc(Cl)cc1,186.00837176399997,1,8403210
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccccc12,239.094628656,3,CHEMBL2171273
CC(=O)Oc1cc(C)ccc1C(C)C,192.115029752,1,CHEMBL3343661
O=C(O)c1cccnc1Br,200.942540468,1,CHEMBL1872389
O=C(O)c1cccnc1Br,200.942540468,1,151254
Nc1ccccc1-c1ccc(C(=O)O)[nH]1,202.07422756,2,CHEMBL5082875
N#Cc1cc(-c2ncc(C(=O)O)cn2)ccc1O,241.048741084,2,CHEMBL5188474
O=C(O)C1CCc2c([nH]c3ccc(Cl)cc23)C1,249.055656304,2,CHEMBL3277053
Cc1cc(O)nc(SCC(=O)O)c1C#N,224.025563116,1,CHEMBL1901450
CC(C)(C)Nc1nccnc1C(=O)[O-].[Na+],217.08272090399998,1,CHEMBL5172834
CCC(=O)Nc1cncc(C(=O)O)n1,195.064391148,1,CHEMBL5182157
Cn1ccnc1C(=O)O,126.042927432,1,CHEMBL5177183
Cn1ccnc1C(=O)O,126.042927432,1,19735770
O=C(O)c1nccn1Cc1ccco1,192.053492116,2,CHEMBL5174410
O=C(O)C(Cc1ccc[n+]([O-])c1)P(=O)(O)O,247.02457367000002,1,CHEMBL3422846
Nc1cnc(C(=O)O)cn1,139.0381764,1,CHEMBL5190288
Nc1cnc(C(=O)O)cn1,139.0381764,1,23528995
O=C(O)c1ccccc1Nc1ccc(Cl)cc1,247.04000624,2,CHEMBL2043303
O=C(O)C1CCN(Cc2cccnc2)CC1,220.121177752,1,CHEMBL1740094
O=C(O)C1CCN(Cc2cccnc2)CC1,220.121177752,1,1503112
Nc1ccc(C(=O)O)cc1S(=O)(=O)O,217.004493324,1,CHEMBL1888157
Nc1ccc(C(=O)O)cc1S(=O)(=O)O,217.004493324,1,1757909
N[C@@H](Cc1cccnn1)C(=O)O,167.069476528,1,CHEMBL1742052
N[C@@H](Cc1cccnn1)C(=O)O,167.069476528,1,3954179
Cl.N[C@@H](Cc1ccc(F)cc1)C(=O)O,219.046234492,1,CHEMBL1885615
O=C(O)CCOCc1ccc(Cl)c(Cl)c1,248.00069954,1,CHEMBL262796
COc1cc(C(=O)O)ccc1Cl.N,203.03492086,1,CHEMBL1498177
Cc1cc(-c2cccc3[nH]ccc23)[nH]c1C(=O)O,240.089877624,3,CHEMBL5088332
O=C(O)c1ccc(-c2cccc3[nH]ccc23)[nH]1,226.07422756,3,CHEMBL5081893
O=C(O)c1ccc(-c2cccc3[nH]ccc23)[nH]1,226.07422756,3,74002849
CC(=O)Oc1ccc(-c2csnn2)cc1,220.030648496,2,CHEMBL1879797
CC(=O)Oc1ccc(-c2csnn2)cc1,220.030648496,2,110329
CC(=O)NC1CCC(C(=O)O)(c2ccccc2)C1,247.120843404,1,CHEMBL1377260
CCC(C)c1ccc(OCC(=O)O)cc1,208.109944372,1,CHEMBL1346832
O=C(O)C1NCc2[nH]cnc2C1c1ccccc1,243.100776656,2,CHEMBL3184370
Nc1cncc(C(=O)O)n1,139.0381764,1,CHEMBL5195953
Nc1cncc(C(=O)O)n1,139.0381764,1,39083038
O=C(O)c1ccc(-c2cccc3ncccc23)[nH]1,238.07422756,3,CHEMBL5080158
COc1ccc(COCC(=O)O)cc1,196.073558864,1,CHEMBL366480
COc1ccc(COCC(=O)O)cc1,196.073558864,1,2386350
O=C(O)Cn1cncc1-c1ccc(F)cc1,220.064805748,2,CHEMBL4778296
CN(C)S(=O)(=O)Nc1ccc(C(=O)O)cc1,244.051777864,1,CHEMBL1505632
CN(C)S(=O)(=O)Nc1ccc(C(=O)O)cc1,244.051777864,1,337897
C[S+]([O-])Cn1ccnc1C(=O)O,188.025563116,1,CHEMBL5191090
Cc1ccc(-c2nccnc2C(=O)[O-])cc1.[Na+],236.056171808,2,CHEMBL5206199
CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.[Na+],228.112624064,1,CHEMBL1241153
O=C(O)c1ccc(O)c2ncccc12,189.042593084,2,CHEMBL1230640
O=C(O)c1ccc(O)c2ncccc12,189.042593084,2,5933707
CC(C)n1ccnc1C(=O)O,154.07422756,1,CHEMBL5188886
CC(C)n1ccnc1C(=O)O,154.07422756,1,75852101
O=C(O)c1nccn1CCn1ccnn1,207.075624528,2,CHEMBL5186837
CCCn1ccnc1C(=O)O,154.07422756,1,CHEMBL5193996
CCCn1ccnc1C(=O)O,154.07422756,1,69900567
N#Cc1ccc(Cn2ccnc2C(=O)O)cc1,227.069476528,2,CHEMBL5184069
Cc1cc(C)n(-c2nc(C(=O)O)cs2)n1,223.041547528,2,CHEMBL1346911
Cc1cc(C)n(-c2nc(C(=O)O)cs2)n1,223.041547528,2,4468647
CC(C)c1ccc(-n2nc(C(=O)O)cc2O)cc1,246.100442308,2,CHEMBL5194233
CC(C)c1ccc(-n2nc(C(=O)O)cc2O)cc1,246.100442308,2,77401080
O=C(Oc1ccc(F)cc1)c1cccnc1,217.053906716,2,CHEMBL1551540
O=C(O)CNC(=O)c1ccccn1,180.053492116,1,CHEMBL221255
O=C(O)CNC(=O)c1ccccn1,180.053492116,1,20284658
Cl.Nc1ccc(C(=O)O)c(O)c1F,207.009848984,1,CHEMBL5196423
Nc1ccc(C(=O)NCC(=O)[O-])cc1.[Na+],216.051086428,1,CHEMBL1200365
CC(=O)c1ccc(OC(=O)N2CCOCC2)cc1,249.10010796,1,CHEMBL1702551
CC(=O)c1ccc(OC(=O)N2CCOCC2)cc1,249.10010796,1,912236
CC(CNc1ccccc1Cl)C(=O)O,213.055656304,1,CHEMBL1992481
CC(=O)NC(CC(=O)O)c1ccccc1,207.089543276,1,CHEMBL1877034
O=C(O)c1ccc2ccccc2n1,173.047678464,2,CHEMBL1160559
O=C(O)c1ccc2ccccc2n1,173.047678464,2,84153
O=C(O)COc1ccc2oc3ccccc3c2c1,242.05790879999998,3,CHEMBL1461784
O=C(O)COc1ccc2oc3ccccc3c2c1,242.05790879999998,3,2643720
O=C(O)COCC(=O)NCCc1ccccc1,237.10010795999997,1,CHEMBL3277394
O=C(O)COCC(=O)NCCc1ccccc1,237.10010795999997,1,4784766
O=C(O)c1cnc2ccccc2c1O,189.042593084,2,CHEMBL158890
O=C(O)c1cnc2ccccc2c1O,189.042593084,2,8602789
Cc1cc(=O)oc2cc3c(cc12)CCC(=O)O3,230.0579088,2,CHEMBL4079452
Cc1cc(=O)oc2cc3c(cc12)CCC(=O)O3,230.0579088,2,35686278
O=C(O)CCc1ccc(O)cc1,166.06299418,1,CHEMBL1172560
O=C(O)CCc1ccc(O)cc1,166.06299418,1,8383206
O=C(O)C1CCCN1C(=O)Nc1ccccc1,234.100442308,1,CHEMBL1401449
Cc1ccc2cccc(C(=O)O)c2n1,187.063328528,2,CHEMBL1096334
Cc1ccc2cccc(C(=O)O)c2n1,187.063328528,2,26441200
O=C(O)c1ccc[n+]([O-])c1,139.02694302,1,CHEMBL1591725
O=C(O)c1ccc[n+]([O-])c1,139.02694302,1,1872
CC(C)Oc1ccc(C(=O)NCC(=O)O)cc1,237.10010796,1,CHEMBL1605188
CC(C)Oc1ccc(C(=O)NCC(=O)O)cc1,237.10010796,1,435683
CS(=O)(=O)Cn1ccnc1C(=O)O,204.020477736,1,CHEMBL5176037
O=C(O)c1nccn1C1CCCC1,180.089877624,1,CHEMBL5178305
Cn1nc(-c2ccc(F)cc2)cc1C(=O)O,220.064805748,2,CHEMBL1322971
Cn1nc(-c2ccc(F)cc2)cc1C(=O)O,220.064805748,2,6677963
NCc1ccc(Cn2ccnc2C(=O)O)cc1,231.100776656,2,CHEMBL5203208
O=C(O)Cc1ccc(O)cc1Cc1ccccc1,242.094294308,2,CHEMBL5194429
Cc1cccnc1CC(O)C(=O)O,181.073893212,1,CHEMBL3303854
Cc1ccc2cnn(CCC(=O)O)c2c1,204.089877624,2,CHEMBL4081365
Cc1ccc2cnn(CCC(=O)O)c2c1,204.089877624,2,45921218
CC(=O)NCCOc1ccc(C(=O)O)cc1,223.084457896,1,CHEMBL1349037
CC(=O)NCCOc1ccc(C(=O)O)cc1,223.084457896,1,2269405
O=COc1ccccc1,122.036779432,1,CHEMBL366050
O=COc1ccccc1,122.036779432,1,8294965
