smiles,mol_weight,NumAr,reagent-info
CC(=O)c1ccccc1,120.057514876,1,CHEMBL274467
CC(=O)c1ccccc1,120.057514876,1,896628
CC(C)(C)C(=O)CSc1nc2ccccc2o1,249.08234972,2,CHEMBL1372841
CCSCCC(=O)c1ccc(Cl)cc1,228.037563716,1,CHEMBL389369
CC(=O)c1ccc2c3c(cc(C)c2c1)CCCC3,238.135765196,2,CHEMBL1706002
COC(C)(C)C(=O)Nc1ccc(C(C)=O)cn1,236.116092372,1,CHEMBL4919484
COC(C)(C)C(=O)Nc1ccc(C(C)=O)cn1,236.116092372,1,179119152
N#Cc1cc2c(cc1C#N)-c1ccccc1C2=O,230.048012812,2,CHEMBL5170305
CC(=O)c1ccc(-c2ccccc2OCF)cc1,244.089957876,2,CHEMBL5179689
Cc1noc2c(C(=O)c3ccccc3O)noc12,244.048406736,3,CHEMBL3398585
CCc1ccc(O)c(C(=O)c2ccncc2)c1,227.094628656,2,CHEMBL280591
CC(=O)[C@H](C)n1nc(C2CC2)ccc1=O,206.105527688,1,CHEMBL4981055
CC(=O)[C@H](C)n1nc(C2CC2)ccc1=O,206.105527688,1,585384408
CC(=O)c1c(N)nc2n(c1=O)CCCCC2,221.11642672,1,CHEMBL1510190
CC(=O)c1c(N)nc2n(c1=O)CCCCC2,221.11642672,1,522303
COc1ccc(C(=O)C(CO)n2cnnc2)cc1,247.095691276,2,CHEMBL37724
O=C1c2cc(O)ccc2-c2cccc3ccnc1c23,247.063328528,3,CHEMBL5207732
CC(=O)c1ccc2noc(-c3ccccc3)c2c1,237.078978592,3,CHEMBL1560121
COc1ccc(C(C)=O)c(O)c1,166.06299418,1,CHEMBL1079227
COc1ccc(C(C)=O)c(O)c1,166.06299418,1,1906
CC(=O)c1ccc(NC2=NCC(C)S2)cc1,234.082684068,1,CHEMBL5204230
Cc1ccc(C(=O)Cn2cncn2)cc1,201.090211972,2,CHEMBL1740019
Cc1ccc(C(=O)Cn2cncn2)cc1,201.090211972,2,175028
COc1ccc(C(=O)c2cccc(F)c2)cc1O,246.069222432,2,CHEMBL5191148
CC(=O)c1ccc(O)c(CN2CCCCC2)c1,233.141578848,1,CHEMBL5202098
CC(=O)c1ccc(O)c(CN2CCCCC2)c1,233.141578848,1,20268105
CC(=O)c1ccc(OC(=O)N2CCOCC2)cc1,249.10010796,1,CHEMBL1702551
CC(=O)c1ccc(OC(=O)N2CCOCC2)cc1,249.10010796,1,912236
COc1cc(F)ccc1C(C)=O,168.058657748,1,CHEMBL4591665
