smiles,mol_weight,NumAr,reagent-info
CCc1ccc(NCc2ccccc2)cc1,211.136099544,2,CHEMBL2296100
C#CCN(C)CCCNCc1ccoc1C,220.15756326,1,CHEMBL4949898
C#CCN(C)CCCNCc1ccoc1C,220.15756326,1,321266510
CN(C)CCCCNc1ccnc2ccccc12,243.17354767199998,2,CHEMBL53869
C#CCNCCc1cccc(OC(=O)N(C)C)c1,246.136827816,1,CHEMBL347503
CCCCNc1cnc(C(=O)O)c(N)n1,210.111675688,1,CHEMBL5222690
CNC/C=C/COc1ccccc1C(C)C,219.162314292,1,CHEMBL4932250
CNC/C=C/COc1ccccc1C(C)C,219.162314292,1,12383125
CNc1nc2c(Cl)cc(Cl)cc2s1,231.962874552,2,CHEMBL1405665
CCNc1cncc(C(=O)[O-])n1.[Na+],189.051420776,1,CHEMBL5201024
CNc1nc2n(C)c3ccccc3cc-2c(=O)n1,240.101111004,1,CHEMBL257109
C=CCNc1ccncc1S(N)(=O)=O,213.057197592,1,CHEMBL1164966
Cc1cnc(C)c(NC[C@H]2CCCN2C(C)C)n1,248.20009676799998,1,CHEMBL4897813
Cc1cnc(C)c(NC[C@H]2CCCN2C(C)C)n1,248.20009676799998,1,1506407073
Fc1ccc(NCc2cccnc2)cc1F,220.08120476,2,CHEMBL1299808
Fc1ccc(NCc2cccnc2)cc1F,220.08120476,2,279815
CCC(C)NCC(O)c1ccc2c(c1)CCCC2,247.19361442,1,CHEMBL358930
c1ccc(CNc2nc3ccccc3[nH]2)cc1,223.110947416,3,CHEMBL456446
c1ccc(CNc2nc3ccccc3[nH]2)cc1,223.110947416,3,347120
Cc1cc2ncc(Nc3ccccc3)nc2cc1C,249.12659748,3,CHEMBL108216
CC(C)(C)Nc1nccnc1C(=O)[O-].[Na+],217.08272090399998,1,CHEMBL5172834
CC(Cn1cccn1)NCc1cccc(C#N)c1,240.13749651199998,2,CHEMBL3450986
CN(C)C1(CNc2ncc(F)cn2)CCCC1,238.15937482799998,1,CHEMBL4994524
CN(C)C1(CNc2ncc(F)cn2)CCCC1,238.15937482799998,1,135390564
CC(C)Cn1ccnc1NCc1cnnn1C,234.15929457599998,2,CHEMBL4938462
CC(C)Cn1ccnc1NCc1cnnn1C,234.15929457599998,2,280990014
CNCCCOc1cc(C)cc(C)c1C,207.162314292,1,CHEMBL1620727
CNCCCOc1cc(C)cc(C)c1C,207.162314292,1,2845317
O=C(O)c1ccccc1Nc1ccc(Cl)cc1,247.04000624,2,CHEMBL2043303
CCCNCc1cccc(C(F)(F)F)c1,217.107834108,1,CHEMBL1178170
CCCNCc1cccc(C(F)(F)F)c1,217.107834108,1,6380493
Nc1ccc(Nc2ccncc2)cc1,185.095297352,2,CHEMBL2131347
Nc1ccc(Nc2ccncc2)cc1,185.095297352,2,15894715
CNc1cccc(-c2c(OC)cccc2OC)n1,244.121177752,2,CHEMBL2358664
c1ccc(Nc2ncccn2)cc1,171.079647288,2,CHEMBL1650061
c1ccc(Nc2ncccn2)cc1,171.079647288,2,6665770
Cc1cc(NCC2CCCCC2)n2ncnc2n1,245.16404560799998,2,CHEMBL3447777
Cc1cc(NCC2CCCCC2)n2ncnc2n1,245.16404560799998,2,30549921
Fc1ccc(CNCCn2cccn2)cc1F,237.107753856,2,CHEMBL3456571
Fc1ccc(CNCCn2cccn2)cc1F,237.107753856,2,42351737
Cc1ccc(CNC(C)(C)CO)c(C)c1,207.162314292,1,CHEMBL4927666
Cc1ccc(CNC(C)(C)CO)c(C)c1,207.162314292,1,20196183
Cc1ccc2cc(CNC(C)C)c(O)nc2c1,230.141913196,2,CHEMBL1588305
Cc1ccc2cc(CNC(C)C)c(O)nc2c1,230.141913196,2,8580094
Cc1ccc(CNc2nc(C)cs2)cc1,218.087769448,2,CHEMBL1440197
Cc1ccc(CNc2nc(C)cs2)cc1,218.087769448,2,2646135
N#Cc1ccc(N[C@@H](CN)C2CCCCC2)cc1,243.17354767199998,1,CHEMBL4897211
Cc1ccccc1Nc1nc2nonc2nc1O,243.075624528,3,CHEMBL5182546
Cc1noc2ncnc(NC(C)(C)CO)c12,222.111675688,2,CHEMBL4905177
